index,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Groups With Access Code,Latitude,Longitude,ID,Updated At,Country,Groups With Access Code (French),Access Code,TOTAL_POP_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,TOTAL_POP_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
894,ELEC,City of Raleigh - Transit Center,Raleigh,NC,27610,E,Private,35.767483,-78.563464,42402,2019-11-08 19:38:10 UTC,US,Privé,private,6953,Wake,37,NORTH CAROLINA,37183,Wake,37183054106,0.6289,14.873571999929693,467.4734488818736,6.147342553280346,POINT (720263.2226193657 3960897.824841029),249,6953,Wake,37,NORTH CAROLINA,37183,Wake,37183054106,0.6289,14.873571999929693,467.4734488818736,6.147342553280346
895,ELEC,City of Raleigh - Transit Center,Raleigh,NC,27610,E,Public,35.767483,-78.563464,42403,2019-11-08 19:38:10 UTC,US,Public,public,6953,Wake,37,NORTH CAROLINA,37183,Wake,37183054106,0.6289,14.873571999929693,467.4734488818736,6.147342553280346,POINT (720263.2226193657 3960897.824841029),249,6953,Wake,37,NORTH CAROLINA,37183,Wake,37183054106,0.6289,14.873571999929693,467.4734488818736,6.147342553280346
962,ELEC,North Hills,Raleigh,NC,27609,E,Public,35.83788,-78.642,43088,2019-10-04 14:44:17 UTC,US,Public,public,3054,Wake,37,NORTH CAROLINA,37183,Wake,37183052601,0.0574,3.318169401966932,920.3870056151026,6.824794239868483,POINT (712974.1213690401 3968533.968158417),124,3054,Wake,37,NORTH CAROLINA,37183,Wake,37183052601,0.0574,3.318169401966932,920.3870056151026,6.824794239868483
10639,ELEC,North Hills,Raleigh,NC,27609,E,Public,35.835836,-78.642624,86104,2019-10-04 14:44:17 UTC,US,Public,public,3054,Wake,37,NORTH CAROLINA,37183,Wake,37183052601,0.0574,3.318169401966932,920.3870056151026,6.824794239868483,POINT (712923.2173438935 3968305.845138574),124,3054,Wake,37,NORTH CAROLINA,37183,Wake,37183052601,0.0574,3.318169401966932,920.3870056151026,6.824794239868483
15578,ELEC,North Hills - Tesla Supercharger,Raleigh,NC,27609,E,Public,35.835539000000004,-78.643001,102276,2019-05-09 14:33:40 UTC,US,Public,public,3054,Wake,37,NORTH CAROLINA,37183,Wake,37183052601,0.0574,3.318169401966932,920.3870056151026,6.824794239868483,POINT (712889.9538343509 3968272.074770365),124,3054,Wake,37,NORTH CAROLINA,37183,Wake,37183052601,0.0574,3.318169401966932,920.3870056151026,6.824794239868483
1004,ELEC,North Carolina State University - McKimmon Center and Solar House,Raleigh,NC,27606,E,Public,35.782140000000005,-78.6864,43324,2019-10-04 14:44:17 UTC,US,Public,public,4196,Wake,37,NORTH CAROLINA,37183,Wake,37183052409,0.6904,1.1048581662424004,3797.7725360627132,8.24216999912657,POINT (709109.4041389271 3962254.390830529),118,4196,Wake,37,NORTH CAROLINA,37183,Wake,37183052409,0.6904,1.1048581662424004,3797.7725360627132,8.24216999912657
1055,ELEC,North Carolina State University - Joyner Visitor Center,Raleigh,NC,27606,E,Public,35.784037,-78.684667,43880,2019-10-04 14:44:17 UTC,US,Public,public,4196,Wake,37,NORTH CAROLINA,37183,Wake,37183052409,0.6904,1.1048581662424004,3797.7725360627132,8.24216999912657,POINT (709261.0891067733 3962468.545246691),118,4196,Wake,37,NORTH CAROLINA,37183,Wake,37183052409,0.6904,1.1048581662424004,3797.7725360627132,8.24216999912657
1149,ELEC,Northern Wake Tech Community College,Raleigh,NC,27616,E,Public,35.867552,-78.543695,44301,2019-10-04 14:44:17 UTC,US,Public,public,10699,Wake,37,NORTH CAROLINA,37183,Wake,37183054104,0.6566,11.650689187193262,918.3147733235058,6.822540222177652,POINT (721771.9903896012 3972044.479061668),247,10699,Wake,37,NORTH CAROLINA,37183,Wake,37183054104,0.6566,11.650689187193262,918.3147733235058,6.822540222177652
1150,ELEC,Whole Foods Market,Raleigh,NC,27615,E,Public,35.898899,-78.650239,44302,2019-10-04 14:44:17 UTC,US,Public,public,3673,Wake,37,NORTH CAROLINA,37183,Wake,37183054007,0.112,3.380195280082343,1086.6236106662227,6.99083056282137,POINT (712067.083540258 3975285.604268437),237,3673,Wake,37,NORTH CAROLINA,37183,Wake,37183054007,0.112,3.380195280082343,1086.6236106662227,6.99083056282137
20567,ELEC,WHOLE FOODS MKT,Raleigh,NC,27615,E,Public,35.898899,-78.650239,117049,2019-11-14 10:14:28 UTC,US,Public,public,3673,Wake,37,NORTH CAROLINA,37183,Wake,37183054007,0.112,3.380195280082343,1086.6236106662227,6.99083056282137,POINT (712067.083540258 3975285.604268437),237,3673,Wake,37,NORTH CAROLINA,37183,Wake,37183054007,0.112,3.380195280082343,1086.6236106662227,6.99083056282137
